name,batch01_QC03,batch01_QC01,batch01_QC02,batch01_C05,batch01_S07,batch01_C10,batch01_QC04,batch01_S01,batch01_C03,batch01_S05,batch01_C07,batch01_S06,batch01_QC05,batch01_C08,batch01_C06,batch01_S02,batch01_S09,batch01_QC06,batch01_S04,batch01_C04,batch01_S10,batch01_C09,batch01_QC07,batch02_C05,batch02_S03,batch02_S07,batch02_C01,batch02_C10,batch02_QC08,batch02_S01,batch02_C03,batch02_S05,batch02_C07,batch02_S06,batch02_QC09,batch02_C08,batch02_C06,batch02_S02,batch02_S09,batch02_C02,batch02_QC10,batch02_S04,batch02_S08,batch02_C04,batch02_S10,batch02_C09,batch02_QC11,batch03_C05,batch03_S03,batch03_S07,batch03_C01,batch03_C10,batch03_QC12,batch03_S01,batch03_C03,batch03_S05,batch03_C07,batch03_S06,batch03_QC13,batch03_C08,batch03_C06,batch03_S02,batch03_S09,batch03_C02,batch03_QC14,batch03_S04,batch03_S08,batch03_C04,batch03_S10,batch03_C09,batch03_QC15,batch04_C05,batch04_S03,batch04_S07,batch04_C01,batch04_QC16,batch04_S01,batch04_S05,batch04_C07,batch04_S06,batch04_QC17,batch04_C08,batch04_C06,batch04_S02,batch04_S09,batch04_C02,batch04_QC18,batch04_S08,batch04_C04,batch04_S10,batch04_QC19,batch05_QC20,batch05_S03,batch05_S07,batch05_C01,batch05_C10,batch05_QC21,batch05_S01,batch05_C03,batch05_C07,batch05_QC22,batch05_C06,batch05_C02,batch05_QC23,batch05_S04,batch05_S08,batch05_C04,batch05_QC24,batch06_QC25,batch06_S03,batch06_C10,batch06_QC26,batch06_S01,batch06_C03,batch06_S05,batch06_C07,batch06_S06,batch06_QC27,batch06_C08,batch06_C06,batch06_S02,batch06_C02,batch06_QC28,batch06_S04,batch06_S08,batch06_C04,batch06_C09,batch06_QC29,batch07_QC30,batch07_C05,batch07_S03,batch07_S07,batch07_C01,batch07_C10,batch07_QC31,batch07_C03,batch07_S05,batch07_C07,batch07_S06,batch07_QC32,batch07_C08,batch07_S02,batch07_S09,batch07_C02,batch07_QC33,batch07_S04,batch07_S08,batch07_S10,batch07_C09,batch07_QC34,batch08_C05,batch08_S03,batch08_S07,batch08_C01,batch08_C10,batch08_QC36,batch08_S01,batch08_C03,batch08_S05,batch08_C07,batch08_S06,batch08_QC37,batch08_C08,batch08_S02,batch08_S09,batch08_QC38,batch08_S04,batch08_S08,batch08_C04,batch08_S10,batch08_C09,batch08_QC39
78.02055,14023,13071,15270,0,9164.8,16760,15879,9922.4,17853,7495,18793,9002.3,18566,11910,16325,7042.1,8023.1,17536,11470,14808,0,9663.5,15186,0,10655,7562.4,74655,16141,12607,13369,21633,10687,21005,19283,14836,11018,16319,7598.9,0,12867,14898,12310,4207.5,14989,0,11840,16307,0,13941,10785,40707,15922,9955.1,6731.6,16662,10109,17473,14974,16029,12349,14090,5193.7,7016.7,20945,13225,8399.4,7256.3,9867.1,0,12876,14555,0,8796.3,0,32313,16273,10189,10246,16515,13248,15776,4212.3,14782,0,6825.2,19755,8281.9,3857,11991,0,12835,7325.5,8313.5,5457.9,30477,11583,0,9170.6,21752,14421,3581.8,13696,14731,6343.6,7376.1,3170.9,11599,6133.8,0,9598.1,11561,6039.5,13813,14744,8373.8,9430.5,8724,0,9242.9,6863.9,0,12142,7503.1,0,2707,12157,0,0,29241,0,23592,20002,63505,55143,27576,47524,23438,50457,22382,26772,51960,22662,14988,35268,32191,23085,25340,3205.6,33746,27662,5349.7,20355,21072,58521,47180,23698,13247,32493,18824,44046,21557,27344,29607,22799,15719,29325,25061,24538,39243,0,34368,33017
452.00345,22455,10737,27397,16898,34420,26748,20038,21440,33865,13152,18691,23453,13017,29544,20569,17659,26118,22809,38006,31521,26982,17127,20498,21558,22947,40839,32622,21703,19690,26942,39091,20550,15213,18769,21150,34546,25378,25745,33403,41503,26583,43435,36211,29910,23946,16451,19352,16958,31806,30816,32257,23076,13954,21046,33271,20278,20497,20800,19066,33474,38519,25530,24690,35630,20446,35111,31933,21916,22848,21054,18811,16409,14175,41903,31302,23170,22037,17391,24111,11828,16283,19590,20556,14298,27259,49219,17648,29046,28482,17998,23072,9243.6,23371,42719,31467,20656,11605,16098,28597,26451,14557,31930,33094,15671,20080,30081,23217,12022,0,18775,17392,20749,31105,53337,21835,19340,20862,10644,30146,17927,22577,30273,21874,27529,17826,48970,23493,14302,24164,21710,31924,42435,40845,19153,24446,36039,23216,21911,26732,27146,30015,21246,22909,42272,24100,27694,31078,29947,16436,23152,18903,16273,36423,41648,24348,28339,22525,31606,22073,19580,18556,26214,34481,24498,26736,23825,34582,29380,25521,0,19149,26974
138.96337,6635.4,8062.3,6294.6,6380.5,4990.5,5550.6,6419.4,5608.4,6974.3,8560.6,7908.5,8480.9,6596.2,7281.4,6422.1,7111.2,7016.7,7290.9,6364.8,7302.8,5695.7,8794.8,7323.4,6977.6,7284,5831.6,7089.2,5883.7,6210.2,6025,7974.8,5968.7,6555.8,6516,7203.5,7742,8554.3,9591.3,7604.1,8314.5,6330.9,5277.6,6242.3,7708.6,7847.8,9063.2,7815.4,9371.1,8370.5,5702.3,8450.2,6345.3,7829.1,5471.6,7119,6699.4,9607,6400,5256,9685.3,7615.6,7688.8,8994.4,10804,7046.7,7775.8,6194.5,7051.3,6709.7,9362.7,5390.2,8480.5,6740.1,5724.4,7344.8,6516.7,6066.9,6398.9,8439.5,7356.9,7341.8,6892.4,8391.9,8032.3,6995.1,8521,7556.2,7336.2,8599.8,4420.1,6943.7,10127,6416.6,6027.9,8439.9,7510.6,10698,6677.3,9693.2,10889,8300.7,8141.8,6657.7,9126.2,8503.2,6953.3,7645.6,6055.1,5996.8,6524,5555.9,6142.8,5216.8,6361.5,6965.9,6603.2,6147.4,7992.9,7125.9,7557.8,6540.4,6405,7688.6,8106.4,4706.1,7557.5,8843.2,7089.4,5537.1,7167.4,6054.2,5268,4233.7,3190.8,7514.8,6856.2,5857.3,7254.3,7482.1,7188.3,7795.2,6426.7,4763.6,6338.7,4339,5746.7,4974.2,6188.7,7639.5,8833.4,6545.4,5639.5,5931.4,3673.9,3384.2,6092.6,3861.5,5851.2,0,6368.6,4656,6554.7,6546.9,6125.7,5925.9,4549.9,5685.3,7427.5,7910.2,5595.9,7496.9,5562.3
73.53838,26493,26141,25944,14949,33159,30454,27685,40598,24068,30021,19279,22759,27947,16693,12201,22376,19190,29738,31314,28785,22648,15905,24547,16081,28522,36987,23453,33383,24282,33264,25176,29744,23676,27990,23000,15956,12935,24102,18827,13330,26829,29886,23207,22027,25815,17601,30627,16595,26402,38442,25577,53021,27063,37565,24780,28286,20173,21432,28383,15619,11858,27493,20329,14412,22429,27198,19229,22430,23669,18204,32322,18017,25618,30280,29980,23641,32419,34064,17415,27423,24780,21855,11916,33332,17598,13871,23151,19667,20957,33176,28154,24721,25477,42289,22335,30439,23941,33504,22718,22805,20971,15089,12077,24039,33389,24603,26302,23535,21681,19161,20029,21825,36691,32174,34358,20630,34354,25590,16867,8152.5,15740,10229,20691,35479,6670.5,36257,18919,26907,21542,29597,23228,33568,23695,49267,25140,22903,25138,15553,18945,22283,15512,29868,20366,12714,23859,25128,27205,23295,18143,19105,18363,24076,32940,20863,27247,20009,26444,20684,21832,19532,19280,23489,14915,26628,20378,19728,33835,22598,22432,24480,14866,22904
385.12885,57625,56964,59045,78490,44919,56948,49356,44319,47684,44787,62213,53348,55748,60310,58945,42025,47903,51314,41417,37924,38863,88240,51710,68420,37928,57172,71305,59312,51260,46782,52746,38578,59026,46450,53539,52508,53999,34650,52919,45099,56385,47768,52179,47861,42636,86435,48409,73069,40485,46096,72602,60774,58744,53187,53167,44050,62643,46966,53251,57378,57879,41499,49818,48097,49415,38946,37363,47706,34313,78043,48582,74069,43990,47360,82244,57210,40649,44381,60267,39753,54030,75556,58149,44959,50686,49442,55209,44701,46492,53583,54804,62658,39296,45773,68881,55290,69388,55499,47093,57314,65066,54726,55370,58244,43627,49519,36726,56161,57207,41373,62665,59858,39901,50311,32341,55925,51670,63529,51781,55219,35997,39814,54908,36634,31300,38166,85179,59301,43755,64767,37562,38353,62088,57068,41463,44045,37351,51731,39595,43018,52897,33636,51575,38688,44216,30702,31677,38949,61081,45865,57709,38636,40959,56816,44427,46274,39678,43696,32806,49221,37026,49547,42153,33557,43770,45095,36457,34843,39478,34479,60305,45387
237.02815,105490,90166,92315,90442,61791,96297,99930,103020,98519,85648,85120,173430,106110,163630,79178,98391,118480,96268,77957,121490,81244,100420,89196,95809,112600,68024,106090,129080,115020,99737,74145,67693,79317,126560,216540,160870,91007,110700,175810,107380,111850,96034,148580,127540,121640,175620,108220,128350,111460,99878,101150,134560,164860,98828,102390,95279,148930,137250,137720,253600,99748,107040,131550,146220,105610,105470,112210,80923,125640,126230,115490,98984,111490,106980,102820,133270,84254,89292,82904,105720,148610,174300,83571,120720,128320,94694,138430,122130,111470,80461,130190,131030,100990,129830,115410,178220,136740,128320,91282,135520,140270,75993,95451,120310,220120,75362,122290,124730,102570,188960,133430,112250,72284,51299,84818,71880,166790,123710,105340,100700,86835,138460,114580,96230,81434,62846,116520,99138,83849,100710,55138,79494,52390,242370,65697,85960,52640,68121,94402,103490,208130,64580,94064,48791,59258,42648,58250,94265,82008,68660,59151,119480,75522,68208,45692,51571,63061,60094,71980,59153,68936,72522,56306,50346,78838,63555,50279,68038,54476,110200,49647,60515
222.02744,34676,34025,30253,30470,19561,34299,31940,21290,28552,21580,32878,35638,31249,41049,30071,26162,25803,30855,18542,31861,21389,17719,27405,29073,18311,23185,37303,36549,27229,18452,23766,16638,33325,28778,27201,39730,21641,23212,30797,29618,25444,17991,28588,26950,21588,19712,24316,25964,18966,17602,34241,37805,29902,17852,25696,19417,26566,20758,26008,35531,25460,24545,37419,29163,21531,14316,22763,25482,27416,21060,26556,22627,16656,17262,32757,26432,16854,18711,27421,25703,24393,36156,22689,23878,32893,23405,24634,20688,24564,26197,25829,27307,16139,19631,32141,31351,27479,16705,26593,32297,24308,22249,25798,27515,18451,26531,25942,28717,26527,18843,30858,24383,16850,20015,17372,23159,24224,28053,31941,15184,16861,22992,22322,16277,12901,22767,19433,26918,67941,92435,55024,61252,114440,124180,73345,76545,51137,70207,69445,64582,103820,66557,85540,95495,75196,54999,81920,60343,61768,67652,76435,42132,60971,106250,103650,68283,49140,71154,50085,83627,68944,67944,84850,64809,80885,60004,53484,67361,70059,67327,49434,72990
399.33298,42457,44250,41942,209710,138080,137660,42609,185620,135960,176640,138170,157880,44122,140600,176920,224330,170470,41993,215250,158860,207060,150850,42665,220030,170090,206410,121810,143330,41322,151270,138860,156100,123750,129460,38547,151920,147000,186440,207380,156010,46429,160460,215190,165370,228650,170850,40724,182920,166410,142190,107240,130130,40694,174080,120240,235080,121530,114960,40500,106280,144010,187390,188330,163580,40246,156150,149140,171100,229400,161330,43595,183210,176820,190540,129850,50311,164700,179380,143540,143960,37237,250490,163500,184960,145290,167050,48212,181430,176330,267330,50102,71301,212690,166490,115450,139470,58229,182700,119500,122270,67162,173840,171030,65257,146430,190030,219420,59058,78539,160740,141860,64972,187340,141580,155010,134800,120210,80091,121150,133780,206130,137860,63024,180330,165350,161250,137130,72507,72344,223360,172120,216570,160100,137820,81575,127390,199240,108280,151740,72696,144190,223480,249250,162540,76734,200040,244140,277540,234130,77018,235970,221630,203030,125890,228680,69095,213000,132270,200330,116500,204780,72860,150300,233040,220100,66766,236670,223510,214850,292220,199580,72664
394.23541,36120,29848,36707,14463,27434,22518,35934,23453,25924,9235.7,17411,39385,31407,32974,19869,24933,26054,35436,15962,23425,21742,20461,32704,12882,17884,29504,25320,18156,32986,24811,20673,13419,15466,31549,30390,30646,22716,15486,23770,9838.5,35366,21360,25787,18432,26479,26620,33226,15082,17287,24923,28372,18568,38927,24788,30871,17013,31023,29135,37576,25384,16144,17591,23534,9532.9,33375,13319,32459,15489,23580,19797,34948,11662,18526,29017,23512,38014,18019,20844,15994,28154,33706,35895,17015,21095,25909,12543,35145,25491,16679,37297,31304,35257,19908,25696,22043,23303,36716,19640,27159,12571,43701,14420,20055,41570,14776,23573,20143,42481,52943,13500,15744,40961,13420,26066,12206,19466,34462,48940,18605,21665,20800,10323,48164,13605,20151,18016,13499,45009,38103,12956,17336,27141,28894,20598,47320,29376,27555,25654,31788,40986,27771,22052,28955,14579,43544,15290,25036,32756,18222,38995,20581,38439,28263,23479,29606,40099,27267,21521,23995,23895,37202,39571,23278,26969,31045,39081,16890,18266,14421,24733,26384,35410
446.13947,7789.3,9748.6,8932.4,0,11285,0,9035.3,5870.1,5585.7,6932,4735.1,6700.9,9203.9,2860.7,3760.2,11231,13899,9112.3,17021,7377.5,0,2689.8,9529.3,0,7663.4,10517,0,2544.1,9891.9,6515.5,8657.4,0,8544.5,11646,8728.9,4208.6,6092.5,10385,16401,6505.4,10520,15712,21651,3079.4,0,0,9334.3,0,8021.8,10117,0,0,10803,0,7306.9,3499,4602.2,11282,7873.3,5197.7,4590.4,11254,14346,3853,9510.8,18635,23233,0,4571.3,0,10386,0,9332.5,8991.3,0,7019,7788.3,0,2247.6,11250,8886.4,0,0,10291,16920,4901.1,9241,22988,7098.3,4955.2,7115.5,8745.2,8321,10768,3396,0,9095.2,6327.6,9149.9,0,0,0,5581,7735.5,16770,22938,5061.3,7553,8873.7,8942.6,0,6895.5,5294.3,8950.6,7355,7448.7,12373,8030.2,5381.2,3515.6,10912,0,8353,19250,23619,5836.6,3849.5,9494,9591.1,0,9918.1,11056,2704.3,4314.2,11963,8700.7,8705.7,4709.3,10698,6635.4,0,12564,13557,4661.8,9982.1,20761,23769,4866.1,4293.4,10439,0,4935.8,0,0,8089.6,9094.7,5039.2,4386.8,7614.4,5339.4,12000,11932,3894.5,5913.2,14694,5555.5,20007,24541,5635.7,0,4366.2,9255.8
